Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Branch and Bound,20,1,"[0, 18, 13, 17, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 14, 16, 0]",60.0,2,1.3717067000106908
Branch and Bound,20,1,"[0, 18, 13, 17, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 14, 16, 0]",60.0,3,1.3853459000238217
Branch and Bound,20,1,"[0, 18, 13, 17, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 14, 16, 0]",60.0,4,1.3726477000163868
Branch and Bound,5,42,"[0, 1, 2, 3, 4, 0]",25.0,0,0.00010260002454742789
Branch and Bound,5,42,"[0, 1, 2, 3, 4, 0]",25.0,1,8.68999632075429e-05
Branch and Bound,5,42,"[0, 1, 2, 3, 4, 0]",25.0,2,8.460000390186906e-05
Branch and Bound,5,42,"[0, 1, 2, 3, 4, 0]",25.0,3,8.329999400302768e-05
Branch and Bound,5,42,"[0, 1, 2, 3, 4, 0]",25.0,4,0.00010659999679774046
Branch and Bound,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,0,0.0039588999934494495
Branch and Bound,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,1,0.003968800010625273
Branch and Bound,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,2,0.003960900008678436
Branch and Bound,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,3,0.003937500005122274
Branch and Bound,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,4,0.003944800002500415
Branch and Bound,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,0,0.019570900010876358
Branch and Bound,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,1,0.0195586999761872
Branch and Bound,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,2,0.019482100033201277
Branch and Bound,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,3,0.019536100036930293
Branch and Bound,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,4,0.019778300018515438
Branch and Bound,12,42,"[0, 1, 5, 7, 2, 11, 3, 9, 6, 4, 8, 10, 0]",59.0,0,0.04237649997230619
Branch and Bound,12,42,"[0, 1, 5, 7, 2, 11, 3, 9, 6, 4, 8, 10, 0]",59.0,1,0.042238199966959655
Branch and Bound,12,42,"[0, 1, 5, 7, 2, 11, 3, 9, 6, 4, 8, 10, 0]",59.0,2,0.042294600047171116
Branch and Bound,12,42,"[0, 1, 5, 7, 2, 11, 3, 9, 6, 4, 8, 10, 0]",59.0,3,0.04224400001112372
Branch and Bound,12,42,"[0, 1, 5, 7, 2, 11, 3, 9, 6, 4, 8, 10, 0]",59.0,4,0.04245339997578412
Branch and Bound,13,42,"[0, 1, 7, 5, 11, 9, 2, 8, 6, 10, 4, 3, 12, 0]",55.0,0,0.0419796000351198
Branch and Bound,13,42,"[0, 1, 7, 5, 11, 9, 2, 8, 6, 10, 4, 3, 12, 0]",55.0,1,0.04155409999657422
Branch and Bound,13,42,"[0, 1, 7, 5, 11, 9, 2, 8, 6, 10, 4, 3, 12, 0]",55.0,2,0.05236029997467995
Branch and Bound,13,42,"[0, 1, 7, 5, 11, 9, 2, 8, 6, 10, 4, 3, 12, 0]",55.0,3,0.04170669999439269
Branch and Bound,13,42,"[0, 1, 7, 5, 11, 9, 2, 8, 6, 10, 4, 3, 12, 0]",55.0,4,0.041804300039075315
Branch and Bound,14,42,"[0, 1, 13, 10, 12, 5, 4, 2, 7, 8, 6, 3, 9, 11, 0]",58.0,0,0.13221330003580078
Branch and Bound,14,42,"[0, 1, 13, 10, 12, 5, 4, 2, 7, 8, 6, 3, 9, 11, 0]",58.0,1,0.1322902999818325
Branch and Bound,14,42,"[0, 1, 13, 10, 12, 5, 4, 2, 7, 8, 6, 3, 9, 11, 0]",58.0,2,0.1320500000147149
Branch and Bound,14,42,"[0, 1, 13, 10, 12, 5, 4, 2, 7, 8, 6, 3, 9, 11, 0]",58.0,3,0.13162220001686364
Branch and Bound,14,42,"[0, 1, 13, 10, 12, 5, 4, 2, 7, 8, 6, 3, 9, 11, 0]",58.0,4,0.13147180003579706
Branch and Bound,15,42,"[0, 1, 2, 4, 14, 9, 12, 11, 7, 8, 6, 13, 3, 10, 5, 0]",52.0,0,0.04421389999333769
Branch and Bound,15,42,"[0, 1, 2, 4, 14, 9, 12, 11, 7, 8, 6, 13, 3, 10, 5, 0]",52.0,1,0.0440701000043191
Branch and Bound,15,42,"[0, 1, 2, 4, 14, 9, 12, 11, 7, 8, 6, 13, 3, 10, 5, 0]",52.0,2,0.04383049998432398
Branch and Bound,15,42,"[0, 1, 2, 4, 14, 9, 12, 11, 7, 8, 6, 13, 3, 10, 5, 0]",52.0,3,0.0438968000235036
Branch and Bound,15,42,"[0, 1, 2, 4, 14, 9, 12, 11, 7, 8, 6, 13, 3, 10, 5, 0]",52.0,4,0.04397090000566095
Branch and Bound,16,42,"[0, 11, 15, 1, 4, 10, 12, 9, 6, 13, 8, 7, 14, 5, 2, 3, 0]",45.0,0,0.05322820000583306
