Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Beam width,Time
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 18, 29, 11, 10, 27, 3, 19, 8, 20, 28, 7, 0]",74.0,1,13,0.4783760000136681
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 18, 29, 11, 10, 27, 3, 19, 8, 20, 28, 7, 0]",74.0,2,13,0.4801518999738619
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 18, 29, 11, 10, 27, 3, 19, 8, 20, 28, 7, 0]",74.0,3,13,0.4800834999768995
Beam Search,30,42,"[0, 26, 1, 4, 2, 13, 23, 9, 22, 6, 12, 16, 25, 14, 21, 24, 5, 17, 15, 18, 29, 11, 10, 27, 3, 19, 8, 20, 28, 7, 0]",74.0,4,13,0.4794539000140503
Beam Search,30,666,"[0, 14, 10, 19, 26, 16, 23, 21, 13, 7, 11, 18, 20, 6, 8, 9, 17, 1, 28, 22, 12, 27, 29, 15, 3, 5, 2, 4, 25, 24, 0]",112.0,0,1,0.042238400026690215
Beam Search,30,666,"[0, 14, 10, 19, 26, 16, 23, 21, 13, 7, 11, 18, 20, 6, 8, 9, 17, 1, 28, 22, 12, 27, 29, 15, 3, 5, 2, 4, 25, 24, 0]",112.0,1,1,0.042341899999883026
Beam Search,30,666,"[0, 14, 10, 19, 26, 16, 23, 21, 13, 7, 11, 18, 20, 6, 8, 9, 17, 1, 28, 22, 12, 27, 29, 15, 3, 5, 2, 4, 25, 24, 0]",112.0,2,1,0.042518500005826354
Beam Search,30,666,"[0, 14, 10, 19, 26, 16, 23, 21, 13, 7, 11, 18, 20, 6, 8, 9, 17, 1, 28, 22, 12, 27, 29, 15, 3, 5, 2, 4, 25, 24, 0]",112.0,3,1,0.04188950004754588
Beam Search,30,666,"[0, 14, 10, 19, 26, 16, 23, 21, 13, 7, 11, 18, 20, 6, 8, 9, 17, 1, 28, 22, 12, 27, 29, 15, 3, 5, 2, 4, 25, 24, 0]",112.0,4,1,0.042220700008329004
Beam Search,30,666,"[0, 21, 13, 7, 11, 9, 17, 1, 10, 19, 26, 27, 8, 28, 29, 2, 4, 25, 22, 12, 6, 16, 23, 15, 14, 5, 24, 18, 20, 3, 0]",88.0,0,4,0.15096709999488667
