Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Beam Search,20,1,"[0, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 18, 13, 17, 14, 16, 0]",67.0,0,0.07159950002096593
Beam Search,20,1,"[0, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 18, 13, 17, 14, 16, 0]",67.0,1,0.07190290000289679
Beam Search,20,1,"[0, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 18, 13, 17, 14, 16, 0]",67.0,2,0.07196740002837032
Beam Search,20,1,"[0, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 18, 13, 17, 14, 16, 0]",67.0,3,0.0715040999930352
Beam Search,20,1,"[0, 1, 15, 6, 11, 10, 19, 12, 5, 9, 3, 2, 8, 4, 7, 18, 13, 17, 14, 16, 0]",67.0,4,0.07189969997853041
Beam Search,5,42,"[0, 1, 2, 3, 4, 0]",25.0,0,0.00019759999122470617
Beam Search,5,42,"[0, 1, 2, 3, 4, 0]",25.0,1,0.0001897999900393188
Beam Search,5,42,"[0, 1, 2, 3, 4, 0]",25.0,2,0.0001876000314950943
Beam Search,5,42,"[0, 1, 2, 3, 4, 0]",25.0,3,0.00018720002844929695
Beam Search,5,42,"[0, 1, 2, 3, 4, 0]",25.0,4,0.00018829997861757874
Beam Search,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,0,0.004247399978339672
Beam Search,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,1,0.00444920000154525
Beam Search,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,2,0.004278299980796874
Beam Search,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,3,0.004455799993593246
Beam Search,10,42,"[0, 1, 2, 8, 5, 7, 3, 6, 4, 9, 0]",47.0,4,0.0042773999739438295
Beam Search,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,0,0.006611399992834777
Beam Search,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,1,0.006472700042650104
Beam Search,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,2,0.006651100004091859
Beam Search,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,3,0.006458099989686161
Beam Search,11,42,"[0, 1, 9, 3, 2, 6, 10, 5, 4, 8, 7, 0]",55.0,4,0.0063310000114142895
Beam Search,12,42,"[0, 11, 3, 9, 6, 4, 8, 1, 5, 7, 2, 10, 0]",61.0,0,0.009151100006420165
Beam Search,12,42,"[0, 11, 3, 9, 6, 4, 8, 1, 5, 7, 2, 10, 0]",61.0,1,0.009195799997542053
Beam Search,12,42,"[0, 11, 3, 9, 6, 4, 8, 1, 5, 7, 2, 10, 0]",61.0,2,0.009227300004567951
Beam Search,12,42,"[0, 11, 3, 9, 6, 4, 8, 1, 5, 7, 2, 10, 0]",61.0,3,0.00924659997690469
Beam Search,12,42,"[0, 11, 3, 9, 6, 4, 8, 1, 5, 7, 2, 10, 0]",61.0,4,0.009293600043747574
Beam Search,13,42,"[0, 11, 9, 2, 8, 6, 5, 10, 4, 3, 12, 1, 7, 0]",57.0,0,0.01300839998293668
Beam Search,13,42,"[0, 11, 9, 2, 8, 6, 5, 10, 4, 3, 12, 1, 7, 0]",57.0,1,0.012819900002796203
Beam Search,13,42,"[0, 11, 9, 2, 8, 6, 5, 10, 4, 3, 12, 1, 7, 0]",57.0,2,0.012828200007788837
Beam Search,13,42,"[0, 11, 9, 2, 8, 6, 5, 10, 4, 3, 12, 1, 7, 0]",57.0,3,0.012699899962171912
Beam Search,13,42,"[0, 11, 9, 2, 8, 6, 5, 10, 4, 3, 12, 1, 7, 0]",57.0,4,0.012934999947901815
Beam Search,14,42,"[0, 1, 13, 10, 4, 2, 7, 12, 5, 6, 3, 9, 11, 8, 0]",65.0,0,0.017260399996303022
Beam Search,14,42,"[0, 1, 13, 10, 4, 2, 7, 12, 5, 6, 3, 9, 11, 8, 0]",65.0,1,0.017278800019994378
Beam Search,14,42,"[0, 1, 13, 10, 4, 2, 7, 12, 5, 6, 3, 9, 11, 8, 0]",65.0,2,0.01719849999062717
Beam Search,14,42,"[0, 1, 13, 10, 4, 2, 7, 12, 5, 6, 3, 9, 11, 8, 0]",65.0,3,0.017203199968207628
Beam Search,14,42,"[0, 1, 13, 10, 4, 2, 7, 12, 5, 6, 3, 9, 11, 8, 0]",65.0,4,0.017253900005016476
Beam Search,15,42,"[0, 1, 12, 11, 7, 4, 14, 9, 8, 6, 13, 3, 10, 2, 5, 0]",55.0,0,0.022984599985647947
Beam Search,15,42,"[0, 1, 12, 11, 7, 4, 14, 9, 8, 6, 13, 3, 10, 2, 5, 0]",55.0,1,0.022979400004260242
Beam Search,15,42,"[0, 1, 12, 11, 7, 4, 14, 9, 8, 6, 13, 3, 10, 2, 5, 0]",55.0,2,0.02277209999738261
Beam Search,15,42,"[0, 1, 12, 11, 7, 4, 14, 9, 8, 6, 13, 3, 10, 2, 5, 0]",55.0,3,0.022867699968628585
Beam Search,15,42,"[0, 1, 12, 11, 7, 4, 14, 9, 8, 6, 13, 3, 10, 2, 5, 0]",55.0,4,0.022857000003568828
Beam Search,16,42,"[0, 1, 9, 6, 13, 8, 4, 10, 12, 5, 2, 3, 7, 14, 11, 15, 0]",54.0,0,0.029721800005063415
Beam Search,16,42,"[0, 1, 9, 6, 13, 8, 4, 10, 12, 5, 2, 3, 7, 14, 11, 15, 0]",54.0,1,0.029574100044555962
Beam Search,16,42,"[0, 1, 9, 6, 13, 8, 4, 10, 12, 5, 2, 3, 7, 14, 11, 15, 0]",54.0,2,0.02994929999113083
Beam Search,16,42,"[0, 1, 9, 6, 13, 8, 4, 10, 12, 5, 2, 3, 7, 14, 11, 15, 0]",54.0,3,0.0294496999704279
